iter	RMSE
0	2974.010967
1	2779.453731
2	2615.91595
3	2457.538076
4	2302.70196
5	2169.942986
6	2056.262977
7	1933.554762
8	1818.500567
9	1710.715672
10	1613.268053
11	1515.107284
12	1420.324679
13	1343.338371
14	1271.472092
15	1201.110665
16	1131.142159
17	1065.744424
18	1005.106536
19	948.7346173
20	897.0598256
21	848.0772623
22	807.4618906
23	765.9055801
24	726.894295
25	691.9310366
26	656.4899004
27	621.7988196
28	594.4670659
29	567.2411362
30	541.5470621
31	518.4382371
32	497.0399964
33	475.3953183
34	456.0482088
35	439.527123
36	423.1365105
37	406.1764879
38	390.7284906
39	377.5248949
40	364.7493717
41	351.127329
42	340.1021461
43	329.5861384
44	319.0652001
45	310.9467536
46	302.2740054
47	293.1779227
48	284.9496314
49	278.6232517
50	272.396894
51	266.7971299
52	260.8342097
53	255.6626205
54	250.1684862
55	244.943924
56	240.4364295
57	236.4485346
58	232.6578598
59	229.4081975
60	225.1298241
61	220.5999464
62	217.1754448
63	214.1477469
64	210.7176236
65	208.3320616
66	205.7431877
67	203.2206361
68	201.281082
69	199.4956499
70	197.4679749
71	195.8016762
72	193.8138036
73	192.0328101
74	190.7418825
75	188.9342059
76	187.0438945
77	184.8677228
78	183.191204
79	180.8986146
80	178.7962787
81	177.9051345
82	176.6479592
83	175.1165235
84	174.1975365
85	172.2683331
86	171.6966884
87	170.7776591
88	169.1199619
89	167.7118284
90	166.638106
91	165.3209795
92	163.6989325
93	162.3206951
94	160.7727566
95	159.2417939
96	158.55499
97	157.3556804
98	156.321479
99	155.0989175
100	154.6336495
101	153.2077971
102	152.8346811
103	152.2197564
104	151.3843304
105	150.3729081
106	149.6371137
107	148.2568204
108	147.7869502
109	146.5354664
110	145.8189867
111	145.2727572
112	144.3605061
113	143.8533832
114	142.8433617
115	142.3246366
116	141.7231962
117	141.2772356
118	140.7965848
119	140.0406118
120	139.0706276
121	138.8143908
122	137.8836151
123	137.0628749
124	135.9347398
125	134.8228058
126	133.9305704
127	132.9670506
128	132.6105429
129	132.2341388
130	131.4661423
131	130.5663353
132	130.0641552
133	129.6759154
134	129.0563337
135	128.6490317
136	128.2537187
137	127.7449271
138	126.9021985
139	125.9629243
140	125.1025687
141	124.8345357
142	124.484454
143	123.8123921
144	123.448443
145	122.8457733
146	122.5599179
147	122.0844131
148	121.7328941
149	121.1831025
150	120.4887503
151	119.7702665
152	119.5202776
153	118.7214491
154	118.1036546
155	117.6886622
156	116.9821229
157	116.4127857
158	116.1616746
159	115.6362115
160	115.147136
161	114.6559827
162	114.1975408
163	113.489351
164	112.9707468
165	112.4214595
166	112.2441714
167	111.8548815
168	111.5132112
169	111.1787365
170	110.9665433
171	110.7674301
172	110.4322178
173	109.9087154
174	109.3193995
175	108.7887409
176	108.1304447
177	107.7460873
178	107.1458082
179	106.6946896
180	106.2336183
181	105.7250483
182	105.454096
183	104.9692715
184	104.5761885
185	104.2350762
186	103.8261492
187	103.6500887
188	103.3938914
189	103.0111079
190	102.5579542
191	102.2527209
192	102.009633
193	101.6350494
194	101.2675265
195	101.06904
196	100.7737076
197	100.3967656
198	100.1884482
199	99.87488513
200	99.47883632
201	99.01595795
202	98.76548349
203	98.49154611
204	98.19279448
205	97.94901466
206	97.45899722
207	97.20406883
208	96.94636987
209	96.47115966
210	96.19280809
211	95.93728429
212	95.64693359
213	95.41035419
214	95.15099058
215	94.81438988
216	94.63315766
217	94.4356401
218	94.0248202
219	93.8273994
220	93.4653813
221	93.15678428
222	92.81104969
223	92.51590424
224	92.29261077
225	92.09524026
226	91.80574513
227	91.63666589
228	91.33265949
229	91.09751833
230	90.83880019
231	90.49201002
232	90.22068697
233	90.00793921
234	89.75319768
235	89.54955777
236	89.35085904
237	89.19039043
238	89.0142027
239	88.81247172
240	88.53743772
241	88.27173429
242	87.93802091
243	87.66207127
244	87.43456503
245	87.2314308
246	87.05048711
247	86.91241973
248	86.54894062
249	86.3137791
250	86.1240277
251	85.86731538
252	85.5973943
253	85.45324192
254	85.31081123
255	85.02640871
256	84.84980235
257	84.69926839
258	84.4055437
259	84.30111716
260	84.14975965
261	84.00972001
262	83.77851527
263	83.60946311
264	83.42407106
265	83.24671883
266	83.14304825
267	82.98572063
268	82.88459488
269	82.71197964
270	82.50562612
271	82.14663062
272	81.97622273
273	81.80678416
274	81.67642694
275	81.49113223
276	81.23717354
277	81.02397165
278	80.76871525
279	80.59437266
280	80.44218397
281	80.22638531
282	79.97806234
283	79.77924014
284	79.62298373
285	79.52078554
286	79.29691983
287	79.12636757
288	78.94591148
289	78.71484247
290	78.55976362
291	78.34621108
292	78.1183168
293	77.89775968
294	77.68705198
295	77.60570554
296	77.46938979
297	77.33154061
298	77.20522518
299	77.08297273
300	77.00399478
301	76.82367478
302	76.69540229
303	76.50604522
304	76.40786026
305	76.28357177
306	76.18313051
307	75.99789365
308	75.75505932
309	75.57545356
310	75.34786593
311	75.15356523
312	75.02465744
313	74.92635048
314	74.77845439
315	74.6211225
316	74.44629064
317	74.34479879
318	74.20012225
319	74.04725394
320	73.94020779
