iter	Passed	Remaining
399	60033	90050
400	60176	89889
401	60317	89726
402	60447	89546
403	60572	89359
404	60710	89191
405	60845	89020
406	60971	88836
407	61097	88651
408	61238	88488
409	61396	88351
410	61534	88184
411	61659	87999
412	61815	87859
413	61951	87689
414	62076	87504
415	62213	87338
416	62394	87233
417	62538	87075
418	62665	86894
419	62815	86745
420	62952	86578
421	63084	86404
422	63217	86232
423	63368	86085
424	63497	85908
425	63621	85725
426	63757	85557
427	63883	85376
428	64011	85198
429	64133	85014
430	64264	84841
431	64417	84697
432	64547	84522
433	64684	84358
434	64831	84207
435	64960	84031
436	65098	83868
437	65230	83697
438	65412	83590
439	65567	83449
440	65712	83295
441	65933	83236
442	66068	83070
443	66201	82901
444	66331	82728
445	66466	82561
446	66597	82390
447	66732	82223
448	66871	82062
449	67006	81896
450	67130	81717
451	67259	81544
452	67401	81387
453	67532	81217
454	67662	81045
455	67793	80876
456	67923	80705
457	68073	80558
458	68205	80390
459	68344	80231
460	68484	80071
461	68632	79922
462	68775	79767
463	68912	79605
464	69065	79463
465	69198	79296
466	69352	79154
467	69486	78989
468	69614	78816
469	69753	78658
470	69881	78486
471	70006	78312
472	70162	78172
473	70302	78014
474	70436	77850
475	70568	77684
476	70703	77521
477	70830	77350
478	70974	77197
479	71127	77054
480	71277	76908
481	71474	76812
482	71630	76672
483	71779	76524
484	71912	76360
485	72042	76192
486	72170	76023
487	72295	75851
488	72426	75685
489	72568	75530
490	72703	75369
491	72838	75207
492	72963	75035
493	73108	74884
494	73246	74726
495	73392	74576
496	73549	74437
497	73691	74283
498	73835	74131
499	73972	73972
500	74103	73807
501	74237	73645
502	74388	73501
503	74523	73340
504	74691	73212
505	74832	73057
506	74972	72902
507	75111	72745
508	75274	72612
509	75430	72472
510	75563	72310
511	75691	72143
512	75832	71989
513	75961	71823
514	76092	71660
515	76218	71491
516	76349	71328
517	76479	71164
518	76610	71001
519	76747	70843
520	76883	70685
521	77009	70518
522	77141	70356
523	77304	70223
524	77437	70062
525	77561	69893
526	77705	69743
527	77869	69610
528	78005	69452
529	78147	69300
530	78301	69159
531	78463	69024
532	78587	68855
533	78720	68695
534	78856	68538
535	78997	68386
536	79143	68237
537	79273	68075
538	79429	67935
539	79560	67773
540	79702	67621
541	79841	67467
542	79968	67302
543	80114	67155
544	80270	67015
545	80417	66867
546	80565	66720
547	80711	66572
548	80858	66424
549	81018	66287
550	81154	66131
551	81306	65987
552	81490	65870
553	81653	65735
554	81835	65615
555	81966	65454
556	82106	65302
557	82239	65143
558	82366	64979
559	82503	64824
560	82629	64660
561	82763	64502
562	82894	64342
563	83026	64183
564	83174	64037
565	83304	63876
566	83437	63718
567	83581	63569
568	83726	63420
569	83872	63272
570	84016	63123
571	84148	62964
572	84287	62811
573	84428	62659
574	84565	62504
575	84694	62344
576	84828	62187
577	84957	62027
578	85097	61876
579	85235	61721
580	85429	61609
581	85570	61458
582	85713	61307
583	85858	61159
584	85996	61005
585	86142	60858
586	86302	60720
587	86474	60590
588	86623	60444
589	86759	60290
590	86907	60144
591	87050	59994
592	87198	59847
593	87366	59715
594	87504	59561
595	87655	59417
596	87811	59276
597	87954	59126
598	88091	58972
599	88249	58832
600	88449	58721
601	88609	58582
602	88769	58443
603	88902	58287
604	89051	58140
605	89185	57985
606	89388	57874
607	89533	57725
608	89668	57570
609	89842	57440
610	89981	57287
611	90117	57133
612	90292	57003
613	90455	56865
614	90611	56724
615	90761	56578
616	90915	56435
617	91066	56290
618	91211	56141
619	91405	56022
620	91532	55863
621	91670	55709
622	91817	55562
623	91965	55414
624	92113	55268
625	92289	55137
626	92485	55019
627	92612	54859
628	92759	54712
629	92899	54560
630	93034	54405
631	93184	54259
632	93325	54108
633	93471	53959
634	93607	53805
635	93743	53652
636	93881	53498
637	94016	53344
638	94152	53190
639	94324	53057
640	94505	52928
641	94650	52780
642	94796	52631
643	94933	52478
644	95061	52320
645	95193	52164
646	95321	52007
647	95447	51848
648	95583	51694
649	95717	51540
650	95848	51384
651	96000	51239
